1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl
------;Straftaten insgesamt;1001;Flensburg;KfS;9,965;10,767;660;6.6;19;8;6,316;63.4;4,184;3,126;1,058;1,474;35.2
------;Straftaten insgesamt;1002;Kiel;KfS;26,468;10,685;1,924;7.3;18;18;13,265;50.1;8,333;6,251;2,082;2,825;33.9
------;Straftaten insgesamt;1003;Lübeck;KfS;22,512;10,322;1,634;7.3;21;20;13,095;58.2;8,282;6,171;2,111;2,297;27.7
------;Straftaten insgesamt;1004;Neumünster;KfS;14,404;18,118;865;6;11;7;9,399;65.3;6,535;5,009;1,526;4,169;63.8
------;Straftaten insgesamt;1051;Dithmarschen;K;7,305;5,401;478;6.5;8;7;4,139;56.7;3,106;2,371;735;741;23.9
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;9,970;4,894;785;7.9;17;14;5,677;56.9;4,445;3,383;1,062;1,364;30.7
------;Straftaten insgesamt;1054;Nordfriesland;K;9,410;5,567;520;5.5;5;12;5,678;60.3;3,909;2,941;968;918;23.5
------;Straftaten insgesamt;1055;Ostholstein;K;11,994;5,891;989;8.2;10;13;6,567;54.8;5,196;3,922;1,274;1,374;26.4
------;Straftaten insgesamt;1056;Pinneberg;K;20,087;6,236;1,519;7.6;25;15;10,213;50.8;7,645;5,816;1,829;2,622;34.3
------;Straftaten insgesamt;1057;Plön;K;5,239;3,991;378;7.2;4;7;3,007;57.4;2,410;1,784;626;488;20.2
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;12,371;4,434;959;7.8;10;23;6,661;53.8;5,235;3,968;1,267;1,372;26.2
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9,852;4,782;633;6.4;13;14;6,171;62.6;4,984;3,870;1,114;1,827;36.7
------;Straftaten insgesamt;1060;Segeberg;K;16,136;5,662;1,024;6.3;14;26;9,123;56.5;7,476;5,685;1,791;3,266;43.7
------;Straftaten insgesamt;1061;Steinburg;K;7,631;5,763;589;7.7;10;10;4,281;56.1;3,125;2,318;807;807;25.8
------;Straftaten insgesamt;1062;Stormarn;K;12,945;5,220;1,105;8.5;7;17;6,222;48.1;5,090;4,040;1,050;1,710;33.6
------;Straftaten insgesamt;2000;Hamburg;KfS;228,454;12,074;14,893;6.5;127;101;112,446;49.2;69,840;53,410;16,430;34,692;49.7
------;Straftaten insgesamt;3101;Braunschweig;KfS;22,421;8,904;1,504;6.7;21;24;14,028;62.6;9,153;6,859;2,294;3,222;35.2
