1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl
------;Straftaten insgesamt;1001;Flensburg;KfS;8,623;9,588;645;7.5;5;5;5,268;61.1;3,417;2,555;862;1,176;34.4
------;Straftaten insgesamt;1002;Kiel;KfS;20,567;8,340;1,448;7;15;9;10,521;51.2;6,851;5,269;1,582;1,896;27.7
------;Straftaten insgesamt;1003;Lübeck;KfS;19,907;9,223;1,383;6.9;16;14;11,370;57.1;7,524;5,668;1,856;2,014;26.8
------;Straftaten insgesamt;1004;Neumünster;KfS;8,865;11,094;579;6.5;13;11;5,584;63;4,056;3,025;1,031;1,895;46.7
------;Straftaten insgesamt;1051;Dithmarschen;K;6,458;4,846;369;5.7;4;11;3,724;57.7;2,800;2,065;735;501;17.9
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;9,780;4,911;836;8.5;7;13;5,336;54.6;4,095;3,114;981;1,087;26.5
------;Straftaten insgesamt;1054;Nordfriesland;K;16,927;10,127;519;3.1;11;9;13,466;79.6;3,431;2,607;824;596;17.4
------;Straftaten insgesamt;1055;Ostholstein;K;10,992;5,455;806;7.3;14;11;5,959;54.2;4,590;3,510;1,080;877;19.1
------;Straftaten insgesamt;1056;Pinneberg;K;18,038;5,689;1,322;7.3;17;11;9,263;51.4;6,834;5,310;1,524;2,012;29.4
------;Straftaten insgesamt;1057;Plön;K;5,020;3,881;340;6.8;7;7;2,864;57.1;2,188;1,609;579;333;15.2
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;11,144;4,056;858;7.7;15;25;6,107;54.8;4,770;3,689;1,081;974;20.4
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;8,728;4,307;534;6.1;7;20;5,621;64.4;4,249;3,268;981;1,346;31.7
------;Straftaten insgesamt;1060;Segeberg;K;13,060;4,698;928;7.1;13;25;6,790;52;5,509;4,294;1,215;1,612;29.3
------;Straftaten insgesamt;1061;Steinburg;K;6,755;5,168;411;6.1;6;12;4,057;60.1;2,789;2,137;652;530;19
------;Straftaten insgesamt;1062;Stormarn;K;12,029;4,910;1,069;8.9;9;6;6,000;49.9;5,094;4,037;1,057;1,508;29.6
------;Straftaten insgesamt;2000;Hamburg;KfS;182,071;9,829;13,872;7.6;106;96;88,271;48.5;58,544;45,156;13,388;25,778;44
------;Straftaten insgesamt;3101;Braunschweig;KfS;17,355;6,982;1,012;5.8;18;19;11,360;65.5;7,929;6,033;1,896;2,212;27.9
------;Straftaten insgesamt;3102;Salzgitter;KfS;5,878;5,659;371;6.3;13;9;3,882;66;3,039;2,258;781;1,019;33.5
------;Straftaten insgesamt;3103;Wolfsburg;KfS;7,839;6,330;500;6.4;7;6;4,746;60.5;3,387;2,582;805;1,192;35.2
------;Straftaten insgesamt;3151;Gifhorn;LK;6,072;3,426;355;5.8;3;7;4,133;68.1;3,126;2,372;754;706;22.6
------;Straftaten insgesamt;3153;Goslar;LK;7,669;5,694;515;6.7;6;2;5,041;65.7;3,659;2,691;968;706;19.3
------;Straftaten insgesamt;3154;Helmstedt;LK;5,915;6,463;426;7.2;5;2;3,889;65.7;2,796;2,125;671;718;25.7
