1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;;;
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl;;;;;
------;Straftaten insgesamt;3257;Schaumburg;LK;8,654;5,483;553;6.4;25;7;5,709;66;3,990;3,050;940;984;24.7;0;;3257;Schaumburg;157,820
------;Straftaten insgesamt;3351;Celle;LK;11,580;6,469;749;6.5;18;9;8,234;71.1;4,900;3,557;1,343;1,104;22.5;0;;3351;Celle;179,011
------;Straftaten insgesamt;3352;Cuxhaven;LK;9,943;5,021;723;7.3;13;16;6,248;62.8;4,469;3,485;984;952;21.3;0;;3352;Cuxhaven;198,038
------;Straftaten insgesamt;3353;Harburg;LK;12,840;5,047;810;6.3;11;20;8,035;62.6;5,898;4,607;1,291;1,775;30.1;0;;3353;Harburg;254,431
------;Straftaten insgesamt;3354;Lüchow-Dannenberg;LK;2,583;5,335;176;6.8;6;2;1,932;74.8;1,433;1,044;389;180;12.6;0;;3354;Lüchow-Dannenberg;48,412
------;Straftaten insgesamt;3355;Lüneburg;LK;12,196;6,623;865;7.1;15;19;7,575;62.1;4,898;3,752;1,146;1,075;21.9;0;;3355;Lüneburg;184,139
------;Straftaten insgesamt;3356;Osterholz;LK;4,436;3,894;324;7.3;7;12;2,845;64.1;2,313;1,797;516;486;21;0;;3356;Osterholz;113,928
------;Straftaten insgesamt;3357;Rotenburg (Wümme);LK;8,644;5,278;550;6.4;11;10;6,011;69.5;4,029;3,127;902;944;23.4;0;;3357;Rotenburg (Wümme);163,782
------;Straftaten insgesamt;3358;Heidekreis;LK;10,550;7,500;907;8.6;10;15;7,054;66.9;5,127;3,883;1,244;1,565;30.5;0;;3358;Landkreis Heidekreis;140,673
------;Straftaten insgesamt;3359;Stade;LK;11,159;5,456;717;6.4;16;15;7,420;66.5;4,639;3,521;1,118;1,266;27.3;0;;3359;Stade;204,512
------;Straftaten insgesamt;3360;Uelzen;LK;4,524;4,897;232;5.1;6;16;3,234;71.5;2,379;1,846;533;498;20.9;0;;3360;Uelzen;92,389
------;Straftaten insgesamt;3361;Verden;LK;7,037;5,132;473;6.7;12;4;4,715;67;3,633;2,763;870;985;27.1;0;;3361;Verden;137,133
------;Straftaten insgesamt;3401;Delmenhorst;KfS;5,084;6,555;540;10.6;9;7;3,121;61.4;2,362;1,811;551;797;33.7;0;;3401;Delmenhorst;77,559
------;Straftaten insgesamt;3402;Emden;KfS;3,818;7,649;307;8;4;3;2,304;60.3;1,527;1,195;332;309;20.2;0;;3402;Emden;49,913
------;Straftaten insgesamt;3403;Oldenburg (Oldenburg);KfS;11,979;7,085;689;5.8;19;14;7,181;59.9;4,950;3,720;1,230;1,335;27;0;;3403;Oldenburg (Oldenburg);169,077
------;Straftaten insgesamt;3404;Osnabrück;KfS;15,902;9,623;1,025;6.4;10;7;9,148;57.5;6,435;5,001;1,434;2,311;35.9;0;;3404;Osnabrück;165,251
------;Straftaten insgesamt;3405;Wilhelmshaven;KfS;7,747;10,181;606;7.8;12;10;5,440;70.2;3,334;2,495;839;624;18.7;0;;3405;Wilhelmshaven;76,089
------;Straftaten insgesamt;3451;Ammerland;LK;4,240;3,396;257;6.1;2;10;2,634;62.1;2,122;1,657;465;391;18.4;0;;3451;Ammerland;124,859
------;Straftaten insgesamt;3452;Aurich;LK;9,911;5,225;560;5.7;23;19;6,782;68.4;4,589;3,429;1,160;685;14.9;0;;3452;Aurich;189,694
------;Straftaten insgesamt;3453;Cloppenburg;LK;6,593;3,863;400;6.1;5;8;4,387;66.5;3,391;2,634;757;951;28;0;;3453;Cloppenburg;170,682
------;Straftaten insgesamt;3454;Emsland;LK;16,338;4,997;1,035;6.3;17;19;10,883;66.6;7,480;5,808;1,672;2,235;29.9;0;;3454;Emsland;326,954
------;Straftaten insgesamt;3455;Friesland;LK;5,088;5,155;245;4.8;5;15;3,378;66.4;2,337;1,794;543;295;12.6;0;;3455;Friesland;98,704
------;Straftaten insgesamt;3456;Grafschaft Bentheim;LK;7,015;5,114;360;5.1;7;4;4,880;69.6;3,901;3,207;694;1,725;44.2;0;;3456;Grafschaft Bentheim;137,162
------;Straftaten insgesamt;3457;Leer;LK;8,842;5,178;475;5.4;11;7;6,086;68.8;4,301;3,279;1,022;932;21.7;0;;3457;Leer;170,756
------;Straftaten insgesamt;3458;Oldenburg;LK;5,810;4,439;737;12.7;8;14;3,394;58.4;2,737;2,184;553;730;26.7;0;;3458;Oldenburg;130,890
------;Straftaten insgesamt;3459;Osnabrück;LK;14,552;4,064;1,172;8.1;16;39;9,338;64.2;7,527;5,850;1,677;2,314;30.7;0;;3459;Osnabrück;358,080
------;Straftaten insgesamt;3460;Vechta;LK;6,344;4,442;526;8.3;4;7;4,191;66.1;3,149;2,467;682;1,109;35.2;0;;3460;Vechta;142,814
------;Straftaten insgesamt;3461;Wesermarsch;LK;4,955;5,594;430;8.7;4;6;3,490;70.4;2,511;1,971;540;434;17.3;0;;3461;Wesermarsch;88,583
------;Straftaten insgesamt;3462;Wittmund;LK;2,867;5,036;145;5.1;1;12;2,082;72.6;1,483;1,087;396;181;12.2;0;;3462;Wittmund;56,926
------;Straftaten insgesamt;4011;Bremen;KfS;66,971;11,800;6,344;9.5;67;25;34,650;51.7;21,941;16,866;5,075;9,300;42.4;0;;4011;Bremen;567,559
------;Straftaten insgesamt;4012;Bremerhaven;KfS;13,306;11,709;1,429;10.7;10;8;6,494;48.8;4,614;3,530;1,084;1,439;31.2;0;;4012;Bremerhaven;113,643
------;Straftaten insgesamt;5111;Düsseldorf;KfS;62,180;9,999;4,361;7;51;18;31,326;50.4;24,328;18,373;5,955;12,021;49.4;0;;5111;Düsseldorf;621,877
------;Straftaten insgesamt;5112;Duisburg;KfS;43,091;8,641;2,867;6.7;55;49;25,046;58.1;17,542;13,123;4,419;7,179;40.9;0;;5112;Duisburg;498,686
