1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,761,984;100;454,461;7.9;1,291,748;1,542,409;1,131,226;1,682,438;114,163;4,211;4,724;3,290,725;57.1;2,112,715;1,586,137;526,578;736,265;34.8
0;Straftaten gegen das Leben;3,227;0.1;1,770;54.8;962;999;584;659;23;6;116;2,971;92.1;3,713;3,078;635;1,288;34.7
10000;Mord § 211 StGB;785;0;443;56.4;238;230;143;170;4;1;61;750;95.5;823;718;105;307;37.3
10079;Sonstiger Mord;735;0;411;55.9;225;214;132;160;4;0;58;704;95.8;747;651;96;284;38
11000;Mord im Zusammenhang mit Raubdelikten;42;0;29;69;9;14;9;10;0;1;3;36;85.7;68;60;8;24;35.3
12000;Mord im Zusammenhang mit Sexualdelikten;8;0;3;37.5;4;2;2;0;0;0;0;10;125;11;10;1;1;9.1
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,594;0;1,279;80.2;445;506;317;314;12;5;55;1,525;95.7;1,884;1,680;204;838;44.5
20010;Totschlag § 212 StGB;1,570;0;1,267;80.7;438;496;313;311;12;5;54;1,502;95.7;1,855;1,658;197;837;45.1
20020;Minder schwerer Totschlag § 213 StGB;7;0;5;71.4;2;5;0;0;0;0;0;6;85.7;11;9;2;1;9.1
20030;Tötung auf Verlangen § 216 StGB;17;0;7;41.2;5;5;4;3;0;0;1;17;100;18;13;5;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;737;0;0;0;254;231;102;144;6;0;0;594;80.6;899;606;293;102;11.3
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;110;0;48;43.6;25;31;22;31;1;0;0;101;91.8;119;85;34;46;38.7
40010;Schwangerschaftsabbruch § 218 StGB;78;0;42;53.8;19;24;14;21;0;0;0;75;96.2;80;60;20;40;50
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;9;0;5;55.6;3;1;1;3;1;0;0;9;100;10;6;4;6;60
40030;Ärztliche Pflichtverletzung § 218c StGB;2;0;0;0;0;1;0;1;0;0;0;1;50;1;1;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;21;0;1;4.8;3;5;7;6;0;0;0;16;76.2;28;18;10;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;1;0;0;0;0;1;0;0;0;0;0;1;100;1;1;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;56,047;1;3,118;5.6;15,956;15,569;10,349;12,809;1,364;27;2;44,314;79.1;39,829;37,762;2,067;11,439;28.7
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;24,523;0.4;2,257;9.2;6,105;6,905;4,941;6,316;256;26;2;19,311;78.7;18,771;18,468;303;7,447;39.7
111000;Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB;11,282;0.2;1,442;12.8;2,996;3,098;2,164;2,890;134;22;1;9,318;82.6;9,414;9,307;107;3,483;37
111100;Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;946;0;270;28.5;203;233;183;312;15;5;0;617;65.2;587;583;4;265;45.1
111200;Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;122;0;29;23.8;24;22;24;52;0;0;0;41;33.6;82;80;2;55;67.1
111300;Vergewaltigung durch Gruppen § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;258;0;34;13.2;42;54;50;106;6;0;0;161;62.4;385;376;9;201;52.2
111400;Sonstige Straftaten gemäß § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;6,158;0.1;620;10.1;1,518;1,713;1,271;1,569;87;13;0;5,364;87.1;5,312;5,260;52;1,935;36.4
111500;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;11;0;1;9.1;4;2;5;0;0;0;0;10;90.9;10;10;0;6;60
111600;Sexuelle Übergriffe § 177 Abs. 1, 2, 3, 4, 7, 8 und 9 StGB;3,787;0.1;488;12.9;1,205;1,074;631;851;26;4;1;3,125;82.5;3,156;3,115;41;1,062;33.7
112000;Sonstige sexuelle Nötigung § 177 Abs. 5, 7, 8 und 9 StGB;2,978;0.1;573;19.2;890;897;509;640;42;4;1;2,444;82.1;2,468;2,428;40;935;37.9
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;607;0;37;6.1;227;159;92;123;6;0;0;595;98;545;495;50;79;14.5
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;403;0;23;5.7;150;113;61;73;6;0;0;396;98.3;386;352;34;57;14.8
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;34;0;2;5.9;8;11;6;9;0;0;0;32;94.1;30;19;11;2;6.7
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;1;0;0;0;0;0;0;1;0;0;0;1;100;2;1;1;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;169;0;12;7.1;69;35;25;40;0;0;0;166;98.2;129;125;4;20;15.5
114000;Sexuelle Belästigung § 184i StGB;9,619;0.2;204;2.1;1,987;2,743;2,172;2,643;74;0;0;6,936;72.1;6,645;6,541;104;3,048;45.9
115000;Straftaten aus Gruppen § 184j StGB;37;0;1;2.7;5;8;4;20;0;0;0;18;48.6;56;54;2;46;82.1
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;20,601;0.4;803;3.9;6,091;5,791;3,789;4,546;384;1;0;15,276;74.2;13,285;12,809;476;3,024;22.8
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11,547;0.2;610;5.3;4,115;3,172;1,827;2,119;314;1;0;9,788;84.8;8,881;8,510;371;1,656;18.6
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;116;0;0;0;37;30;27;17;5;0;0;98;84.5;97;89;8;12;12.4
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5,168;0.1;422;8.2;1,972;1,423;793;901;79;0;0;4,692;90.8;4,479;4,315;164;939;21
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1,516;0;45;3;339;434;311;424;8;0;0;840;55.4;800;760;40;211;26.4
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;465;0;56;12;155;142;84;66;18;0;0;393;84.5;372;354;18;40;10.8
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;2,121;0;0;0;827;530;273;328;163;0;0;1,738;81.9;1,463;1,392;71;155;10.6
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;826;0;22;2.7;326;243;130;123;4;0;0;775;93.8;731;714;17;115;15.7
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;113;0;3;2.7;26;30;18;36;3;0;0;104;92;105;89;16;12;11.4
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1,222;0;62;5.1;433;340;191;224;34;1;0;1,148;93.9;1,185;1,139;46;208;17.6
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7,783;0.1;0;0;1,546;2,236;1,773;2,187;41;0;0;4,343;55.8;3,502;3,424;78;1,163;33.2
132010;Exhibitionistische Handlungen § 183 StGB;6,902;0.1;0;0;1,392;2,013;1,608;1,851;38;0;0;3,704;53.7;2,882;2,882;0;993;34.5
132020;Erregung öffentlichen Ärgernisses § 183a StGB;881;0;0;0;154;223;165;336;3;0;0;639;72.5;687;609;78;198;28.8
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;990;0;180;18.2;333;306;155;170;26;0;0;901;91;870;845;25;183;21
134000;Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;281;0;13;4.6;97;77;34;70;3;0;0;244;86.8;260;256;4;78;30
