1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;Anzahl erfasste Faelle;%-Anteil an allen Faellen;erfasste Faelle, davon Versuche Anzahl;erfasste Faelle, davon Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Anzahl Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;5,940,667;100;425,520;7.2;1,331,638;1,588,511;1,200,417;1,696,162;123,939;4,419;4,687;3,469,752;58.4;2,246,767;1,675,541;571,226;923,269;41.1
0;Straftaten gegen das Leben;3,083;0.1;1,760;57.1;877;966;586;641;13;4;157;2,759;89.5;3,735;3,090;645;1,418;38
10000;Mord § 211 StGB ;704;0;490;69.6;199;211;132;154;8;1;53;650;92.3;824;705;119;355;43.1
10079;Sonstiger Mord;679;0;473;69.7;192;200;130;149;8;0;52;625;92;764;657;107;313;41
11000;Mord im Zusammenhang mit Raubdelikten;20;0;14;70;4;9;2;5;0;1;1;20;100;55;43;12;41;74.5
12000;Mord im Zusammenhang mit Sexualdelikten;5;0;3;60;3;2;0;0;0;0;0;5;100;5;5;0;1;20
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1,578;0;1,218;77.2;454;474;321;327;2;2;101;1,493;94.6;1,972;1,747;225;868;44
20010;Totschlag § 212 StGB;1,553;0;1,211;78;440;469;319;323;2;2;100;1,469;94.6;1,950;1,729;221;866;44.4
20020;Minder schwerer Totschlag § 213 StGB;1;0;0;0;1;0;0;0;0;0;0;1;100;1;0;1;0;0
20030;Tötung auf Verlangen § 216 StGB;24;0;7;29.2;13;5;2;4;0;0;1;23;95.8;21;18;3;2;9.5
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;703;0;0;0;209;245;121;126;2;1;3;525;74.7;852;572;280;154;18.1
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219b StGB;98;0;52;53.1;15;36;12;34;1;0;0;91;92.9;95;73;22;43;45.3
40010;Schwangerschaftsabbruch § 218 StGB;90;0;46;51.1;15;34;12;28;1;0;0;84;93.3;89;68;21;40;44.9
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;6;0;5;83.3;0;1;0;5;0;0;0;6;100;5;5;0;2;40
40030;Ärztliche Pflichtverletzung § 218c StGB;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1;0;1;100;0;1;0;0;0;0;0;1;100;1;0;1;1;100
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;126,470;2.1;3,162;2.5;37,369;35,744;22,829;24,586;5,942;37;2;105,146;83.1;93,707;84,304;9,403;26,591;28.4
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;39,029;0.7;1,905;4.9;9,716;11,089;7,907;9,857;460;35;2;31,555;80.9;29,727;29,061;666;11,382;38.3
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;12,186;0.2;1,020;8.4;2,919;3,329;2,419;3,294;225;32;2;10,160;83.4;10,295;10,144;151;3,834;37.2
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;11,633;0.2;972;8.4;2,791;3,157;2,297;3,180;208;27;1;9,717;83.5;9,839;9,697;142;3,678;37.4
111710;Vergewaltigung § 177 Abs. 6  Nr. 1, 2 StGB (ohne Schlüssel 111730);9,868;0.2;891;9;2,359;2,687;1,946;2,695;181;8;1;8,325;84.4;8,357;8,244;113;3,146;37.6
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1,  2  i. V. m. Abs. 7, 8 StGB;517;0;35;6.8;118;160;119;116;4;19;0;427;82.6;524;511;13;241;46
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6  Nr. 1, 2  StGB;1,248;0;46;3.7;314;310;232;369;23;0;0;965;77.3;1,029;1,012;17;317;30.8
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;551;0;48;8.7;127;171;122;114;17;5;1;441;80;481;471;10;164;34.1
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1)  i. V. m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;166;0;16;9.6;44;43;33;44;2;0;0;131;78.9;151;148;3;60;39.7
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;305;0;28;9.2;62;98;73;60;12;4;1;247;81;266;260;6;86;32.3
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall  § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;80;0;4;5;21;30;16;10;3;1;0;63;78.8;66;65;1;19;28.8
