1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9178;Freising;LK;3,071;1,695;132;4.3;0;0;3,021;98.4;3,060;1,664;1,396;3,030;99
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9179;Fürstenfeldbruck;LK;70;32;1;1.4;0;0;70;100;71;67;4;70;98.6
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9180;Garmisch-Partenkirchen;LK;518;587;257;49.6;0;0;518;100;553;458;95;541;97.8
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9181;Landsberg am Lech;LK;36;30;1;2.8;0;0;36;100;41;31;10;35;85.4
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9182;Miesbach;LK;161;161;0;0;0;0;160;99.4;170;152;18;167;98.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9183;Mühldorf a.Inn;LK;97;82;1;1;0;0;96;99;102;79;23;102;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9184;München;LK;188;54;0;0;0;0;183;97.3;188;163;25;185;98.4
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9185;Neuburg-Schrobenhausen;LK;56;57;1;1.8;0;0;56;100;54;40;14;53;98.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9186;Pfaffenhofen a.d.Ilm;LK;58;45;0;0;0;0;58;100;64;60;4;61;95.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9187;Rosenheim;LK;2,188;831;1,766;80.7;0;0;2,184;99.8;2,249;1,916;333;2,238;99.5
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9188;Starnberg;LK;39;29;0;0;0;0;38;97.4;44;38;6;42;95.5
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9189;Traunstein;LK;53;30;0;0;0;0;52;98.1;56;44;12;53;94.6
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9190;Weilheim-Schongau;LK;116;85;1;0.9;0;0;116;100;107;90;17;106;99.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9261;Landshut;KfS;202;276;0;0;0;0;197;97.5;173;160;13;171;98.8
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9262;Passau;KfS;2,353;4,432;1,925;81.8;0;0;2,340;99.4;2,371;2,172;199;2,363;99.7
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9263;Straubing;KfS;29;61;0;0;0;0;29;100;29;24;5;29;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9271;Deggendorf;LK;2,221;1,843;1;0;0;0;2,217;99.8;2,225;1,803;422;2,220;99.8
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9272;Freyung-Grafenau;LK;233;296;14;6;0;0;230;98.7;238;202;36;231;97.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9273;Kelheim;LK;14;11;0;0;0;0;14;100;14;10;4;14;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9274;Landshut;LK;60;37;0;0;0;0;61;101.7;61;49;12;60;98.4
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9275;Passau;LK;2,254;1,161;1,025;45.5;0;0;2,184;96.9;2,311;2,110;201;2,272;98.3
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9276;Regen;LK;68;88;0;0;0;0;68;100;72;66;6;70;97.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9277;Rottal-Inn;LK;978;800;60;6.1;0;0;968;99;1,043;967;76;1,023;98.1
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9278;Straubing-Bogen;LK;168;164;0;0;0;0;164;97.6;182;158;24;175;96.2
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9279;Dingolfing-Landau;LK;45;46;0;0;0;0;44;97.8;44;35;9;44;100
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9361;Amberg;KfS;33;79;0;0;0;0;33;100;32;26;6;30;93.8
725000;Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz/EU;9362;Regensburg;KfS;2,397;1,561;0;0;0;0;2,396;100;2,394;1,901;493;2,391;99.9
