1;2;3;4;5;6;7;8;9;10;11;12;
300400;Einfacher†Diebstahl†von†Schusswaffen;2;Hamburg;0;0;0;0;0;0;0;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;6;Hessen;4;0.1;0;0;1;25;1;1;100
300400;Einfacher†Diebstahl†von†Schusswaffen;13;Mecklenburg-Vorpommern;1;0.1;0;0;0;0;0;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;3;Niedersachsen;10;0.1;0;0;6;60;7;1;14.3
300400;Einfacher†Diebstahl†von†Schusswaffen;5;Nordrhein-Westfalen;19;0.1;0;0;7;36.8;7;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;7;Rheinland-Pfalz;6;0.1;0;0;3;50;3;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;10;Saarland;4;0.4;0;0;4;100;4;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;14;Sachsen;4;0.1;1;25;3;75;3;1;33.3
300400;Einfacher†Diebstahl†von†Schusswaffen;15;Sachsen-Anhalt;2;0.1;0;0;0;0;0;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;1;Schleswig-Holstein;3;0.1;0;0;1;33.3;1;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;16;Thueringen;8;0.4;0;0;4;50;5;0;0
300400;Einfacher†Diebstahl†von†Schusswaffen;70;Bund echte Zaehlung der Tatverdaechtigen;96;0.1;2;2.1;45;46.9;48;7;14.6
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;8;Baden-Wuerttemberg;2,805;25.8;6;0.2;182;6.5;200;79;39.5
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;9;Bayern;738;5.7;1;0.1;173;23.4;169;64;37.9
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;11;Berlin;4,255;120.9;9;0.2;220;5.2;163;82;50.3
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;12;Brandenburg;526;21.2;0;0;83;15.8;68;5;7.4
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;4;Bremen;475;70.7;1;0.2;48;10.1;44;20;45.5
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;2;Hamburg;1,850;103.5;3;0.2;48;2.6;50;25;50
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;6;Hessen;3,285;53.2;13;0.4;310;9.4;327;136;41.6
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;13;Mecklenburg-Vorpommern;160;9.9;0;0;17;10.6;21;1;4.8
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;3;Niedersachsen;3,364;42.4;28;0.8;467;13.9;496;164;33.1
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;5;Nordrhein-Westfalen;16,051;89.8;44;0.3;979;6.1;1,044;356;34.1
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;7;Rheinland-Pfalz;1,688;41.7;5;0.3;222;13.2;218;59;27.1
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;10;Saarland;141;14.2;0;0;23;16.3;24;7;29.2
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;14;Sachsen;2,134;52.2;9;0.4;235;11;245;57;23.3
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;15;Sachsen-Anhalt;854;38;2;0.2;120;14.1;124;16;12.9
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;1;Schleswig-Holstein;288;10.1;4;1.4;41;14.2;46;9;19.6
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;16;Thueringen;230;10.6;1;0.4;42;18.3;42;4;9.5
300500;Einfacher†Diebstahl†von†unbaren†Zahlungsmitteln;70;Bund echte Zaehlung der Tatverdaechtigen;38,844;47.3;126;0.3;3,210;8.3;3,248;1,064;32.8
300700;Einfacher†Diebstahl†von/aus†Automaten;8;Baden-Wuerttemberg;88;0.8;9;10.2;41;46.6;44;17;38.6
300700;Einfacher†Diebstahl†von/aus†Automaten;9;Bayern;271;2.1;13;4.8;126;46.5;132;35;26.5
300700;Einfacher†Diebstahl†von/aus†Automaten;11;Berlin;168;4.8;25;14.9;14;8.3;19;8;42.1
300700;Einfacher†Diebstahl†von/aus†Automaten;12;Brandenburg;15;0.6;0;0;6;40;6;1;16.7
300700;Einfacher†Diebstahl†von/aus†Automaten;4;Bremen;14;2.1;3;21.4;7;50;8;2;25
300700;Einfacher†Diebstahl†von/aus†Automaten;2;Hamburg;63;3.5;8;12.7;26;41.3;20;9;45
300700;Einfacher†Diebstahl†von/aus†Automaten;6;Hessen;70;1.1;5;7.1;19;27.1;25;12;48
300700;Einfacher†Diebstahl†von/aus†Automaten;13;Mecklenburg-Vorpommern;8;0.5;0;0;4;50;5;0;0
300700;Einfacher†Diebstahl†von/aus†Automaten;3;Niedersachsen;86;1.1;9;10.5;42;48.8;47;13;27.7
300700;Einfacher†Diebstahl†von/aus†Automaten;5;Nordrhein-Westfalen;838;4.7;554;66.1;100;11.9;123;39;31.7
300700;Einfacher†Diebstahl†von/aus†Automaten;7;Rheinland-Pfalz;61;1.5;6;9.8;22;36.1;25;6;24
300700;Einfacher†Diebstahl†von/aus†Automaten;10;Saarland;17;1.7;1;5.9;3;17.6;3;0;0
300700;Einfacher†Diebstahl†von/aus†Automaten;14;Sachsen;50;1.2;8;16;14;28;16;0;0
300700;Einfacher†Diebstahl†von/aus†Automaten;15;Sachsen-Anhalt;84;3.7;9;10.7;14;16.7;16;1;6.3
300700;Einfacher†Diebstahl†von/aus†Automaten;1;Schleswig-Holstein;32;1.1;2;6.3;16;50;16;3;18.8
300700;Einfacher†Diebstahl†von/aus†Automaten;16;Thueringen;47;2.2;6;12.8;14;29.8;13;2;15.4
300700;Einfacher†Diebstahl†von/aus†Automaten;70;Bund echte Zaehlung der Tatverdaechtigen;1,912;2.3;658;34.4;468;24.5;518;148;28.6
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;8;Baden-Wuerttemberg;50;0.5;0;0;3;6;3;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;9;Bayern;145;1.1;4;2.8;30;20.7;34;9;26.5
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;11;Berlin;50;1.4;1;2;7;14;9;2;22.2
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;12;Brandenburg;13;0.5;1;7.7;4;30.8;6;0;0
