1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
------;Straftaten insgesamt;6,372,526;100;533,647;8.4;1,590,491;1,663,537;1,222,724;1,813,547;82,227;4,425;5,542;3,584,167;56.2;2,360,806;1,767,739;593,067;953,744;40.4
0;Straftaten gegen das Leben;3,242;0.1;1,807;55.7;1,029;1,017;525;667;4;5;158;2,969;91.6;3,765;3,116;649;1,276;33.9
10000;Mord ß 211 StGB;761;0;443;58.2;230;242;117;171;1;2;83;709;93.2;784;678;106;291;37.1
10079;Sonstiger Mord;707;0;411;58.1;214;228;104;160;1;1;77;656;92.8;697;598;99;241;34.6
11000;Mord im Zusammenhang mit Raubdelikten;45;0;30;66.7;13;11;10;11;0;1;6;45;100;81;74;7;46;56.8
12000;Mord im Zusammenhang mit Sexualdelikten;9;0;2;22.2;3;3;3;0;0;0;0;8;88.9;7;7;0;4;57.1
20000;Totschlag und Toetung auf Verlangen ßß 212, 213, 216 StGB;1,657;0;1,314;79.3;535;493;298;330;1;3;74;1,579;95.3;2,003;1,771;232;849;42.4
20010;Totschlag ß 212 StGB;1,630;0;1,301;79.8;522;486;295;326;1;3;71;1,552;95.2;1,969;1,748;221;849;43.1
20020;Minder schwerer Totschlag ß 213 StGB;3;0;3;100;2;1;0;0;0;0;0;3;100;6;1;5;0;0
20030;Toetung auf Verlangen ß 216 StGB;24;0;10;41.7;11;6;3;4;0;0;3;24;100;28;22;6;0;0
30000;Fahrlaessige Toetung ß 222 StGB - nicht i.V.m. Verkehrsunfall -;686;0;0;0;230;239;89;128;0;0;1;549;80;841;580;261;103;12.2
40000;Abbruch der Schwangerschaft ßß 218, 218b, 218c, 219a, 219b StGB;138;0;50;36.2;34;43;21;38;2;0;0;132;95.7;149;97;52;36;24.2
40010;Schwangerschaftsabbruch ß 218 StGB;102;0;50;49;28;32;15;25;2;0;0;100;98;105;74;31;34;32.4
40020;Schwangerschaftsabbruch ohne aerztliche Feststellung, unrichtige aerztliche Feststellung ß 218b StGB;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
40030;ƒrztliche Pflichtverletzung ß 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40040;Werbung fuer den Abbruch der Schwangerschaft ß 219a StGB;35;0;0;0;6;11;6;12;0;0;0;32;91.4;44;23;21;2;4.5
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch ß 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100000;Straftaten gegen die sexuelle Selbstbestimmung;47,401;0.7;3,367;7.1;14,795;13,100;8,092;10,482;932;39;6;37,442;79;33,533;31,522;2,011;8,698;25.9
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhaengigkeitsverhaeltnisses ßß 174, 174a, 174b, 174c, 177, 178 StGB;14,492;0.2;2,344;16.2;4,042;4,225;2,678;3,483;64;35;5;11,399;78.7;11,493;11,313;180;4,315;37.5
111000;Vergewaltigung und sexuelle Noetigung ßß 177 Abs. 2, 3 und 4, 178 StGB;7,919;0.1;1,175;14.8;1,944;2,224;1,597;2,112;42;28;3;6,223;78.6;6,476;6,393;83;2,512;38.8
111100;Vergewaltigung ueberfallartig (Einzeltaeter) ß 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1,132;0;356;31.4;264;320;258;286;4;3;1;763;67.4;728;726;2;248;34.1
111200;Vergewaltigung ueberfallartig (durch Gruppen) ß 177 Abs. 2 Nr. 2 StGB;225;0;56;24.9;38;48;27;110;2;1;0;49;21.8;90;90;0;61;67.8
111300;Vergewaltigung durch Gruppen ß 177 Abs. 2 Nr. 2 StGB;524;0;49;9.4;46;86;62;328;2;1;0;185;35.3;407;383;24;218;53.6
111400;Sonstige Straftaten ß 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;6,038;0.1;714;11.8;1,596;1,770;1,250;1,388;34;23;2;5,226;86.6;5,283;5,226;57;1,999;37.8
111500;Vergewaltigung/sexuelle Noetigung mit Todesfolge ß 178 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112000;Sonstige sexuelle Noetigung ß 177 Abs. 1 und 5 StGB;5,919;0.1;1,136;19.2;1,870;1,791;983;1,259;16;7;2;4,547;76.8;4,607;4,552;55;1,785;38.7
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhaeltnisses ßß 174, 174a-c StGB;654;0;33;5;228;210;98;112;6;0;0;629;96.2;569;526;43;65;11.4
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren ß 174 StGB;447;0;25;5.6;169;147;60;67;4;0;0;435;97.3;410;379;31;43;10.5
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren ß 174a StGB;41;0;0;0;13;19;5;4;0;0;0;38;92.7;31;24;7;5;16.1
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren ß 174b StGB;3;0;0;0;0;1;2;0;0;0;0;3;100;3;3;0;1;33.3
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhaeltnisses zum Nachteil von Personen ab 14 Jahren ß 174c StGB;163;0;8;4.9;46;43;31;41;2;0;0;153;93.9;128;123;5;18;14.1
130000;Sexueller Missbrauch ßß 176, 176a, 176b, 179, 182, 183, 183a StGB;22,674;0.4;986;4.3;7,118;6,528;4,010;4,789;229;4;1;17,167;75.7;14,862;14,333;529;3,442;23.2
131000;Sexueller Missbrauch von Kindern ßß 176, 176a, 176b StGB;12,019;0.2;735;6.1;4,561;3,465;1,782;2,011;200;4;1;10,357;86.2;9,159;8,748;411;1,778;19.4
131010;Sexuelle Handlungen ß 176 Abs. 5 StGB;116;0;0;0;40;33;21;19;3;0;0;100;86.2;103;90;13;13;12.6
131100;Sexuelle Handlungen ß 176 Abs. 1 und 2 StGB;5,251;0.1;491;9.4;2,041;1,542;765;863;40;0;1;4,780;91;4,526;4,378;148;1,054;23.3
131200;Exhibitionistische/sexuelle Handlungen vor Kindern ß 176 Abs. 4 Nr. 1 StGB;1,731;0;68;3.9;540;507;309;372;3;0;0;1,036;59.8;889;842;47;210;23.6
131300;Sexuelle Handlungen ß 176 Abs. 4 Nr. 2 StGB;590;0;67;11.4;281;152;91;56;10;0;0;531;90;430;407;23;71;16.5
131400;Einwirken auf Kinder ß 176 Abs. 4 Nr. 3 und 4 StGB;2,028;0;0;0;831;564;240;288;105;2;0;1,750;86.3;1,455;1,365;90;146;10
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer aehnlichen sexuellen Handlung nach ß 176a Abs. 2 Nr. 1 StGB;831;0;29;3.5;337;245;125;114;10;1;0;794;95.5;748;738;10;114;15.2
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften ß 176a Abs. 3 StGB;106;0;4;3.8;30;24;15;32;5;0;0;92;86.8;94;77;17;5;5.3
131700;Sonstiger schwerer sexueller Missbrauch von Kindern ß 176a StGB;1,366;0;76;5.6;461;398;216;267;24;1;0;1,274;93.3;1,301;1,231;70;204;15.7
