1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
726100;Straftaten gegen das Sprengstoffgesetz;5130;0.1;0;0;1760;1155;830;1370;15;0;0;4144;81;4520;4352;168;443;9.8
726200;Straftaten gegen das Waffengesetz;30004;0.5;138;0.5;10615;8230;4605;6465;89;0;1269;27859;93;28347;26107;2240;6052;21.3
726300;Straftaten gegen das Kriegswaffenkontrollgesetz;502;0;7;1.4;199;139;81;77;6;0;0;422;84;476;457;19;67;14.1
728000;Straftaten gegen das Bundes- (oder Landes-) Datenschutzgesetz;538;0;0;0;96;220;59;143;20;0;0;400;74;295;217;78;15;5.1
728010;Straftaten gegen Landesdatenschutzgesetz;143;0;0;0;17;27;12;83;4;0;0;93;65;84;54;30;0;0
728020;Straftaten gegen das Bundesdatenschutzgesetz;395;0;0;0;79;193;47;60;16;0;0;307;78;211;163;48;15;7.1
730000;Rauschgiftdelikte (soweit nicht bereits mit anderer Schlüsselzahl erfasst);282604;4.5;4549;1.6;71719;83980;58037;67734;1134;0;0;265395;94;231730;201925;29805;51615;22.3
731000;Allgemeine Verstöße gemäß § 29 BtMG (soweit nicht unter 7340 pp. zu erfassen);213850;3.4;2650;1.2;51421;61685;45893;54152;699;0;0;202051;95;179776;156104;23672;37386;20.8
731100;Allgemeiner Verstoß mit Heroin;8283;0.1;86;1;764;1785;2452;3271;11;0;0;7960;96;6874;5799;1075;1881;27.4
731200;Allgemeiner Verstoß mit Kokain einschl. Crack;10444;0.2;134;1.3;1383;2104;1663;5248;46;0;0;9782;94;8796;7750;1046;2974;33.8
